Australia;Coal_ peat and oil shale;Residential (PJ);01. Australia;01. Coal_ peat and oil shale;10. Residential (PJ);9.91;9.85;7.84;14.84;13.87;12.17;10.60;9.49;8.86;8.15;7.70;7.23;6.86;6.06;5.59;4.75;4.04;3.35;2.77;2.38;1.90;1.78;1.79;1.58;1.61;1.12;0.93;0.90;0.82;0.77;0.85;0.97;0.94;0.83;0.87;0.41;0.40;0.36;0.30;0.16;0.10;0.07;0.05;0.00;0.02;0.02;0.02;0.02;0.02;0.00;0.02;0.00;..
Australia;Coal_ peat and oil shale;Commercial and public services (PJ);01. Australia;01. Coal_ peat and oil shale;11. Commercial and public services (PJ);2.60;3.90;3.94;10.95;10.71;10.43;10.20;9.35;9.37;9.09;8.70;8.40;8.27;8.20;7.91;7.44;7.12;6.83;6.64;6.16;5.64;4.90;4.52;4.29;3.98;3.41;3.11;2.42;2.05;2.07;3.04;3.07;3.92;2.82;3.17;2.47;2.16;1.87;1.56;0.65;0.50;0.31;0.15;0.28;0.29;0.32;0.51;0.51;0.58;0.79;0.21;0.14;..
Australia;Coal_ peat and oil shale;Other final consumption (PJ);01. Australia;01. Coal_ peat and oil shale;12. Other final consumption (PJ);0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;..
Australia;Crude_ NGL and feedstocks;Production (PJ);01. Australia;02. Crude_ NGL and feedstocks;01. Production (PJ);620.72;663.65;830.91;822.07;880.93;904.13;956.01;949.56;951.56;891.94;870.23;857.34;833.87;1003.11;1160.61;1206.83;1198.03;1195.12;1081.20;1215.25;1216.29;1201.07;1189.36;1119.51;1187.57;1167.10;1181.57;1303.77;1049.13;1419.76;1466.05;1380.34;1347.21;1194.68;1074.86;971.92;1084.87;998.74;1026.16;1069.17;1024.98;961.08;840.39;803.93;757.30;735.46;641.28;609.33;721.89;875.03;785.07;806.79;747.02
Australia;Crude_ NGL and feedstocks;Imports (PJ);01. Australia;02. Crude_ NGL and feedstocks;02. Imports (PJ);440.74;379.70;374.21;385.46;358.37;363.12;386.84;442.17;440.12;435.82;426.58;464.73;428.64;314.44;266.77;212.02;268.98;343.48;437.08;427.46;458.62;565.15;716.48;730.38;736.76;850.82;862.53;872.38;1026.08;934.24;970.72;1007.14;971.66;808.33;895.00;838.46;869.45;899.33;832.32;925.10;1087.11;1008.83;1025.19;968.84;846.74;682.18;697.35;767.25;744.63;630.81;491.79;359.45;336.09
Australia;Crude_ NGL and feedstocks;Exports (PJ);01. Australia;02. Crude_ NGL and feedstocks;03. Exports (PJ);-24.15;-14.26;-0.78;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-3.10;0.00;-1.95;-36.65;-198.28;-177.75;-201.15;-226.92;-172.03;-245.17;-320.39;-356.17;-394.04;-369.89;-434.26;-421.43;-499.30;-594.97;-569.93;-810.76;-985.32;-895.84;-736.75;-615.63;-552.23;-457.66;-561.15;-562.20;-582.54;-634.29;-690.19;-612.79;-553.89;-521.13;-532.84;-488.52;-450.12;-458.13;-518.27;-594.53;-563.60;-592.66;-575.50
Australia;Crude_ NGL and feedstocks;Total energy supply (PJ);01. Australia;02. Crude_ NGL and feedstocks;04. Total energy supply (PJ);1051.35;1029.09;1204.34;1207.53;1239.30;1267.25;1342.85;1388.49;1390.21;1325.36;1276.10;1325.34;1259.09;1270.82;1214.12;1245.30;1259.65;1313.99;1353.44;1384.74;1361.26;1411.11;1508.42;1482.97;1477.36;1588.28;1553.77;1560.25;1522.12;1531.41;1412.24;1507.58;1580.69;1420.21;1422.37;1347.53;1381.13;1343.34;1277.03;1335.99;1438.99;1368.09;1318.83;1254.97;1082.21;938.77;889.65;921.97;936.05;911.07;730.02;569.64;509.88
Australia;Crude_ NGL and feedstocks;Electricity_ CHP and heat plants (PJ);01. Australia;02. Crude_ NGL and feedstocks;05. Electricity_ CHP and heat plants (PJ);0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-0.04;-0.04;-0.04;-0.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;..
Australia;Crude_ NGL and feedstocks;Oil refineries_ transformation (PJ);01. Australia;02. Crude_ NGL and feedstocks;06. Oil refineries_ transformation (PJ);-1026.26;-1021.18;-1162.48;-1159.96;-1184.68;-1207.92;-1276.93;-1271.64;-1300.70;-1266.56;-1194.88;-1234.22;-1163.27;-1180.02;-1175.66;-1164.40;-1164.59;-1212.96;-1273.09;-1284.33;-1316.95;-1368.30;-1411.38;-1428.93;-1452.99;-1524.24;-1566.96;-1616.96;-1576.44;-1571.65;-1514.34;-1570.66;-1573.91;-1488.29;-1426.66;-1354.42;-1400.09;-1363.30;-1374.12;-1340.49;-1501.47;-1440.25;-1410.68;-1333.33;-1179.76;-1007.55;-978.35;-1041.57;-1038.77;-930.33;-775.00;-552.47;..
Australia;Crude_ NGL and feedstocks;Total final consumption (PJ);01. Australia;02. Crude_ NGL and feedstocks;07. Total final consumption (PJ);0.00;0.00;0.00;0.00;0.00;0.41;0.50;0.14;0.05;0.05;0.09;0.09;0.09;0.14;0.14;0.13;0.17;0.13;0.13;0.19;0.00;0.09;0.13;0.13;0.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.13;0.13;0.69;0.69;0.74;0.69;0.65;0.56;0.61;0.63;0.60;0.62;0.63;0.61;0.62;0.66;0.63;0.00;0.00;0.00;..
